,placa,loc_latitude,loc_longitude,count
1544,ODI3296,5328,2522,1
1545,HCY7947,8084,6972,1
1546,NMU4397,3944,7554,1
1547,KKK2664,7388,5319,1
1548,IGQ5270,500,9278,1
1549,NXU0127,1412,9134,1
1550,OII2238,1412,9134,1
1551,OUS9012,9666,833,1
1552,OCD6855,1444,4721,1
1553,HTK3447,4117,2929,1
1554,PON7460,3522,1867,2
1555,PAM9660,8053,4258,1
1556,OIF5925,3001,5500,1
1557,HDY9769,6794,1377,1
1558,BMP3985,9266,2925,1
1559,HCY3050,3184,9714,4
1560,ONS9067,9711,2269,1
1561,OTR0217,9711,2269,2
1562,HYW2620,4361,2544,1
1563,NVU1207,2967,3581,2
1564,GTO2267,461,4253,1
1565,ODI9577,8553,444,1
1566,EGB1463,9654,4859,1
1567,OTF9140,4316,3639,2
1568,OYO5365,5466,1020,1
1569,NFT5824,2434,2172,1
1570,PDN0957,2556,2528,1
1571,MWU4765,7556,4971,1
1572,POB4346,0,9999,1
1573,OSQ0040,4608,1990,1
1574,HSW2143,6794,1377,1
1575,ODS8119,4111,7000,1
1576,PRM0541,1772,1190,1
1577,ODR1882,7210,1962,1
1578,MVD8293,5466,1020,1
1579,ODR9241,7134,4709,1
1580,ODI2256,5010,8083,1
1581,HHV2638,1772,1190,1
1582,HOI6851,8053,4258,1
1583,OFS9866,3944,7554,1
1584,HAD2804,2672,342,1
1585,ADP8915,1289,9660,1
1586,HWY6584,3944,7554,1
1587,OEC8573,2556,2528,1
1588,OFS9866,7122,5194,1
1589,LQY9790,4361,2544,1
1590,NJT6299,1708,1402,1
1591,HDU3385,2850,4686,1
1592,MSD2730,7134,4709,1
1593,OTF9140,6794,1377,1
1594,HDW7729,3497,6138,1
1595,PLM4614,3522,1867,1
1596,OMN7744,2967,3581,1
